id,severity,scope,finding,status,disposition,evidence
F001,P0,thehub-pr,PR94 is read-only and has no lifecycle executor,RESOLVED_FOR_HUB_SLICE,"Shell-free executor implemented behind the signed policy. Twelve Hub operations enabled; hub.fetch declared and left disabled. The 55 producer operations remain declared and not enabled.","server/backend/federation_manager_operations.py; federation_manager_process.py; federation_manager_runner.py"
F002,P0,federation,Producer manifests contain raw and compound shell strings,RESOLVED_BY_DESIGN,"No manifest string is ever parsed or executed. All 68 declarations are mapped to signed typed operations; the original text is retained as provenance.declared_source_text for audit only, and a test asserts the argv builder never reads it.","config/operations_policy.json; tests/test_federation_operations.py::test_argv_builder_never_reads_the_declared_source_text"
F003,P0,federation,No cryptographic verification of the operations policy,RESOLVED,"Ed25519 signature over a canonical encoding, pinned key id, payload digest, schema, validity window, and a monotonic anti-rollback sequence. All failures are fatal; there is no warn-and-continue path.",tests/test_federation_operations.py (10 signature/rollback tests)
F004,P0,federation,No OS-native credential provider implementation,PARTIALLY_RESOLVED,"macOS Keychain, Windows Credential Manager, and Linux Secret Service adapters implemented behind the existing no-get interface. macOS certification (G07) cannot be produced without a macOS host and is recorded blocked.",server/backend/federation_manager_secrets.py; reports/federation/gate_evidence.json
F005,P0,thehub-pr/skywatcher-pr/aguayluz-pr,Existing browser UI cannot supply write credentials,RESOLVED_FOR_HUB_SLICE,"Sealed sink: inject_into_env writes into the child environment and returns None. The browser sends a value in and receives only presence back; no endpoint returns a secret.",tests/test_federation_secrets_and_files.py; tests/test_federation_operations_api.py::test_no_endpoint_returns_a_secret_value
F006,P0,thehub-pr,File upload backend is a diagnostic stub,RESOLVED_BY_DEDICATED_PATH,"A dedicated manager file-slot endpoint mints opaque session-bound tokens and stages copies into per-run intake. The SPA's /api/files/upload stub is deliberately untouched, matching F007's own disposition.",server/backend/federation_manager_files.py; tests/test_federation_operations_api.py::test_file_slot_returns_a_token_and_no_path
F007,P0,thehub-pr,Function execution endpoint is a diagnostic stub,RESOLVED_BY_DEDICATED_PATH,"Dedicated operations API added; the generic function invoke stub is not repurposed, as this ledger row directs. tests/test_diagnostic_stubs.py stays green unmodified.",server/backend/federation_manager_api.py
F008,P0,federation,"No process supervision, cancellation, or streamed redacted logs",RESOLVED,"Process groups, timeout, cancellation, deny-by-default environment, streaming redaction, bounded logs, and a log hash over the redacted bytes.",tests/test_federation_process.py (26 tests incl. grandchild process-group kill)
F009,P0,federation,UI gates can be manually marked passed without execution evidence,RESOLVED,"Gate status derives only from verified signed receipts. Annotations are carried and ignored. The schema independently rejects a passed gate with empty derived_from, and the gates endpoint has no write verb.","tests/test_federation_receipts.py::test_an_annotation_cannot_turn_a_gate_green; schemas/gate_evidence.schema.json"
F010,P0,federation,No atomic rollback for setup/update/data writes,RESOLVED_FOR_HUB_SLICE,"Six strategies implemented with forced-failure tests at every boundary, and every ENABLED operation declares one of them -- so G13 passes in the hub_slice profile on evidence rather than on scope. Five producer strategies remain unbuilt and are named in UNIMPLEMENTED_STRATEGIES, which raises rather than silently no-opping; G13 stays deferred in the federation_vector profile. Earlier text said three, which undercounted.",tests/test_federation_transactions.py; tools/emit_gate_attestations.py::check_enabled_rollback_coverage
F011,P1,moneysweep-pr,Manual Tranche B and COR3 fallback inputs are incomplete,DEFERRED,"Out of scope for the Hub slice. Typed file slots and the file-token broker exist and are ready for these inputs once moneysweep operations are enabled.",docs/FEDERATION_UI_OPERATIONS_HANDOFF_NEXT.md
F012,P1,skywatcher-pr,Production export blocked by lack of non-synthetic observations,DEFERRED,"Unchanged. No skywatcher operation is enabled, so no production-mode claim is made either way.",docs/FEDERATION_UI_OPERATIONS_HANDOFF_NEXT.md
F013,P1,aguayluz-pr,MiLUMA acquisition is ToS/WAF gated,OPEN_BY_POLICY,"aguayluz.fetch_luma_live carries promotion_state BLOCKED_UNTIL_TOS_AND_LIVE_SOURCE_CERTIFIED and a distinct enablement_reason in the signed policy. It stays disabled pending explicit source authorization, which is a decision no implementation substitutes for.",config/operations_policy.json
F014,P1,centinelas-pr,LLM classification requires external secret and network,DEFERRED,"Not enabled. Secret presence for ANTHROPIC_API_KEY is already reportable through the broker without a value ever being returned.",docs/FEDERATION_UI_OPERATIONS_HANDOFF_NEXT.md
F015,P1,federation,Source installs depend on Python/Node/Git and sibling checkout topology,PARTIALLY_RESOLVED,"Prerequisites are machine-detected per app (does the console script resolve, are the managed roots writable, does the credential store answer) with an actionable step for each gap. Signed standalone artifacts are not built.",server/backend/federation_manager_runner.py::prerequisites
F016,P1,federation,Cross-platform filesystem/process sandbox is not yet specified in code,PARTIALLY_RESOLVED,"Managed roots with per-component symlink-resolving containment, no elevation, deny-by-default environment, post-run write audit against the run's own resolved outputs, and platform process adapters. Not a hostile-code sandbox, and the security review says so.",docs/FEDERATION_OPERATIONS_SECURITY_REVIEW_v0_2.md
