REPOSITORY,COMMIT_SHA,SURFACE,DEPENDENCY_RAW,DEPENDENCY_CANONICAL,PLANE,NETWORK_REQUIRED,ACCOUNT_OR_SECRET,COST_MODEL,CORE_OR_OPTIONAL,DATA_ACCESS_EXEMPTION,CLASSIFICATION,STATUS,EVIDENCE_PATH,RATIONALE
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,frontend SDK,@sentry/react,SENTRY,RUNTIME,YES,VITE_SENTRY_DSN,HOSTED_SERVICE,OPTIONAL,NO,REMOVE_PROHIBITED,OPEN,dashboard/src/main.jsx,"Tracing and session replay are telemetry, not data acquisition."
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,backend route,https://api.anthropic.com/v1/messages,ANTHROPIC_MESSAGES_API,RUNTIME,YES,ANTHROPIC_API_KEY,METERED,OPTIONAL_FEATURE,NO,REPLACE_WITH_LOCAL,OPEN,server/backend/main.py,AI query route can spend operator funds and is not required for core status synthesis.
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,basemap,https://a.tile.openstreetmap.org/{z}/{x}/{y}.png,OSM_RASTER,RUNTIME,YES,NONE,PUBLIC_SERVICE,OPTIONAL_DATA,CANDIDATE,HARDEN_CONNECTOR,OPEN,dashboard/src/components/AssetMap.jsx,Register connector and preserve offline overlay rendering.
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,basemap,https://server.arcgisonline.com/.../tile/{z}/{y}/{x},ESRI_WORLD_IMAGERY,RUNTIME,YES,NONE,PUBLIC_OR_LICENSE_BOUND,OPTIONAL_DATA,CANDIDATE,HARDEN_CONNECTOR,OPEN,dashboard/src/components/AssetMap.jsx,Register connector and resolve cache/license/offline behavior.
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,shared UI package,GitHub release tgz @pr-federation/react,PR_FEDERATION_REACT,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,dashboard/package.json,Remote tarball pin does not retain offline bytes.
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,shared Python packages,TheHub git source,PRII_SHARED_PYTHON,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,pyproject.toml,Immutable Git pin is not an offline source bundle.
aguayluz-pr,3678271a03e36375dc3e9f2fb4da0b6b655622bd,federation handoff,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,FEDERATION_DISPATCH_TOKEN,FREE_HOSTED,OPERATIONAL,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,.github/workflows/centinelas-handoff.yml,Provider-controlled transport cannot be authoritative.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,Python dependency,anthropic>=0.40.0,ANTHROPIC_SDK,RUNTIME,YES,ANTHROPIC_API_KEY,METERED,CORE_DECLARATION,NO,MOVE_TO_OPTIONAL_ADAPTER,OPEN,pyproject.toml,SDK is in the default dependency plane despite an offline keyword classifier.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,classifier,anthropic.Anthropic,ANTHROPIC_CLIENT,RUNTIME,YES,ANTHROPIC_API_KEY,METERED,OPTIONAL_CAPABILITY,NO,LAZY_IMPORT_LOCAL_DEFAULT,OPEN,src/centinelas/classify/classifier.py,Keyword classification must be default; hosted model adapter must not control core.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,workflow secret,ANTHROPIC_API_KEY,ANTHROPIC_WORKFLOW_BINDING,AUTOMATION,YES,ANTHROPIC_API_KEY,METERED,DEFAULT_WORKFLOW,NO,REMOVE_DEFAULT_INJECTION,OPEN,.github/workflows/dispatch-signals.yml,Scheduled/manual pipeline injects paid service credentials.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,shared UI package,GitHub release tgz @pr-federation/react,PR_FEDERATION_REACT,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,frontend/package.json,Remote tarball pin does not retain offline bytes.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,shared Python packages,TheHub remote archive/git source,PRII_SHARED_PYTHON,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,pyproject.toml,Remote source must be retained locally with hashes.
centinelas-pr,caf086598a4f99e2eb0ca4aac6d51e2d9bd46321,routing transport,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,FEDERATION_DISPATCH_TOKEN,FREE_HOSTED,OPERATIONAL_CORE,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,src/centinelas/route/dispatch.py,Local artifact outbox/inbox must be authoritative.
moneysweep-pr,74b10245f925bfd9b9ea07b2ce986981d5d65525,test tooling,pytest / pytest-cov,PYTHON_TEST_STACK,RUNTIME_DECLARATION,NO,NONE,OPEN_SOURCE,MISCLASSIFIED,NO,MOVE_TO_DEV_EXTRA,OPEN,requirements.in,Test tools are mixed into the core install plane.
moneysweep-pr,74b10245f925bfd9b9ea07b2ce986981d5d65525,shared UI package,GitHub release tgz @pr-federation/react,PR_FEDERATION_REACT,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,dashboard/package.json,Remote tarball pin does not retain offline bytes.
moneysweep-pr,74b10245f925bfd9b9ea07b2ce986981d5d65525,shared Python package,TheHub git source,PRII_MAINTENANCE,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,requirements.in,Remote Git pin must be accompanied by verified local bytes.
