route,component,390x844,430x932,768x1024,status
/,RecentActivity,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/activity,RecentActivity,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/programs,Programs,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/cases,Cases,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/sources,Sources,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/tasks,Tasks,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/gates,Gates,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/integrations,Integrations,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/exports,Exports,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/readiness,ModuleReadiness,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/transition,TransitionAudit,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/crossover,FederationCrossoverWorkspace,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/anomaly-overlap,AnomalyOverlap,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/control,ControlLedgers,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/hub,Hub,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/research,ResearchAssistant,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/dictionary,Dictionary,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/manifest,Manifest,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/spiderweb,Spiderweb,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/ovnis,Ovnis,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/aguayluz,AguaYLuz,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/moneysweep,MoneySweep,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/skywatcher,Skywatcher,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
/centinelas,Centinelas,QUEUED,QUEUED,QUEUED,NOT_EXECUTED
