gate_id,name,criterion,required,original_status,updated_status,evidence
P1-G01,Pinned baseline completeness,"Recursive pinned Hub tree and exact counts for files, tests, routes, schemas and migrations are independently recorded.",True,BLOCKED,PASS,"Repo HEAD == pinned 70765a2c; PINNED_TREE_INVENTORY.tsv + BASELINE_COUNTS.json certify 460 files/134 modules/346 root test funcs/13 CLI subcommands/23 route decorators/16 schemas/0 migrations/6 producers/8 streams."
P1-G02,Source integrity,All audit inputs and outputs match SHA-256 manifests; source ZIP and Hub repository remain unchanged.,True,PASS,PASS,"spatialragv2.zip sha256 == cd3b78f… (matches machine context); all 32 handoff files verify vs HANDOFF_HASH_MANIFEST.sha256; Hub unchanged (only handoff-audit/ added). CAVEAT: outer handoff-zip wrapper sha (63bf11…) != uploaded (ac51dc…) — re-compression only, contents intact."
P1-G03,Contract schemas,"Versioned schemas exist for snapshots, retrieval objects, provenance, claims, abstention, access and provider receipts.",True,DESIGN_READY,DESIGN_READY,"Design drafts delivered under phase1-design/schemas/ (9 valid draft-2020-12 schemas). Implementation still NOT authorized until baseline closure + user approval."
P1-G04,Read-only intelligence boundary,Intelligence interfaces cannot mutate canonical evidence or mutable ingestion tables.,True,DESIGN_READY,DESIGN_READY,"Interface spec in INTERFACES_DESIGN.md §1 (no mutation surface) + write-denial test spec T041. Requires implementation + contract tests."
P1-G05,Snapshot lifecycle,"Immutable IDs, manifests, certification, query validation, atomic activation, rollback and quarantine are contract-tested.",True,DESIGN_READY,DESIGN_READY,"evidence_lifecycle/query_lifecycle/snapshot_manifest drafts + atomic promoter spec (INTERFACES_DESIGN §4). Requires implementation."
P1-G06,Structured no-LLM mode,Exact-ID and structured searches function with all LLM providers disabled.,True,NOT_TESTED,DESIGN_READY,"Contract specified (INTERFACES_DESIGN §2, analytical_run_receipt llm=null path). Still requires adapter + tests (T042) — not yet tested."
P1-G07,Security baseline,"No default credentials, no default DB exposure, auth outside dev, allowlisted CORS/fetch, quarantine, limits, policy parity and secret redaction.",True,DESIGN_READY,DESIGN_READY,"SECURITY_CONTRACTS_DESIGN.md covers quarantine/limits/allowlist/redaction/parity. Requires implementation + adversarial tests."
P1-G08,Synthetic exclusion,Operational snapshots contain zero synthetic or TEST_ONLY retrieval objects unless explicitly running in test mode.,True,NOT_TESTED,DESIGN_READY,"snapshot_manifest.synthetic_accounting + access_classification TEST_ONLY rule specified; test spec T044. Requires fixtures + integration tests."
P1-G09,Backward compatibility,Existing Hub CLI and validation behavior remain green; no producer contract regression.,True,BLOCKED,PASS,"445 passed / 1 skipped (env) across root+3 subpackages; ruff + mypy clean; uv lock --check PASS; 13 CLI subcommands smoke-OK. See TEST_RUN_LEDGER.*."
P1-G10,No code movement,Phase 1 begins only after P1-G01 and P1-G09 are closed and the component ledger is approved.,True,PASS,PASS,"HOLD retained. Only handoff-audit/ added; zero changes to existing Hub source/tests/schemas. Phase-1 implementation NOT started."
